index_rc,col,row,col_row,x_cent_geo,y_cent_geo,x1_nw_geo,y1_nw_geo,x2_sw_geo,y2_sw_geo,x3_se_geo,y3_se_geo,x4_ne_geo,y4_ne_geo,sh,hh,ni,hb,nw,he,rp,bw,by,sl,be,bb,mv,sn,st,th
66,66,0,66 - 000,14.0932885973,55.1423617738,14.0310197140,55.1824089605,14.0237858727,55.1064639631,14.1554397120,55.1022821121,14.1629092510,55.1782200904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,0,67 - 000,14.2250470466,55.1381091077,14.1629092510,55.1782200904,14.1554397120,55.1022821121,14.2870671472,55.0979657677,14.2947722416,55.1738965021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,0,68 - 000,14.3567786060,55.1337218550,14.2947722416,55.1738965021,14.2870671472,55.0979657677,14.4186673513,55.0935149681,14.4266078543,55.1694382340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,0,69 - 000,14.4884824467,55.1292000546,14.4266078543,55.1694382340,14.4186673513,55.0935149681,14.5502394981,55.0889297531,14.5584152586,55.1648453262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,0,70 - 000,14.6201577409,55.1245437470,14.5584152586,55.1648453262,14.5502394981,55.0889297531,14.6817827626,55.0842101634,14.6901936250,55.1601178195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,0,71 - 000,14.7518036620,55.1197529736,14.6901936250,55.1601178195,14.6817827626,55.0842101634,14.8132963209,55.0793562411,14.8219421253,55.1552557562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,0,72 - 000,14.8834193844,55.1148277771,14.8219421253,55.1552557562,14.8132963209,55.0793562411,14.9447793502,55.0743680294,14.9536599322,55.1502591795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,0,73 - 000,15.0150040837,55.1097682015,14.9536599322,55.1502591795,14.9447793502,55.0743680294,15.0762310288,55.0692455726,15.0853462197,55.1451281342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,0,74 - 000,15.1465569367,55.1045742916,15.0853462197,55.1451281342,15.0762310288,55.0692455726,15.2076505363,55.0639889162,15.2170001630,55.1398626658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,0,75 - 000,15.2780771213,55.0992460938,15.2170001630,55.1398626658,15.2076505363,55.0639889162,15.3390370533,55.0585981071,15.3486209385,55.1344628214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,0,76 - 000,15.4095638166,55.0937836555,15.3486209385,55.1344628214,15.3390370533,55.0585981071,15.4703897620,55.0530731930,15.4802077238,55.1289286490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,0,77 - 000,15.5410162033,55.0881870253,15.4802077238,55.1289286490,15.4703897620,55.0530731930,15.6017078455,55.0474142231,15.6117596979,55.1232601979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,0,78 - 000,15.6724334630,55.0824562529,15.6117596979,55.1232601979,15.6017078455,55.0474142231,15.7329904885,55.0416212475,15.7432760411,55.1174575186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,1,00 - 001,5.3881207428,55.0486274300,5.3182172374,55.0842101634,5.3265980278,55.0082931857,5.4579070245,55.0130048776,5.4497605019,55.0889297531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1,1,01 - 001,5.5195612747,55.0532759422,5.4497605019,55.0889297531,5.4579070245,55.0130048776,5.5892447490,55.0175824185,5.5813326487,55.0935149681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,2,1,02 - 001,5.6510302002,55.0577901711,5.5813326487,55.0935149681,5.5892447490,55.0175824185,5.7206103807,55.0220257678,5.7129328528,55.0979657677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,3,1,03 - 001,5.7825266960,55.0621700766,5.7129328528,55.0979657677,5.7206103807,55.0220257678,5.8520030978,55.0263348860,5.8445602880,55.1022821121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,4,1,04 - 001,5.9140499376,55.0664156197,5.8445602880,55.1022821121,5.8520030978,55.0263348860,5.9834220777,55.0305097348,5.9762141273,55.1064639631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,5,1,05 - 001,6.0455990996,55.0705267628,5.9762141273,55.1064639631,5.9834220777,55.0305097348,6.1148664965,55.0345502771,6.1078935424,55.1105112831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,6,1,06 - 001,6.1771733556,55.0745034690,6.1078935424,55.1105112831,6.1148664965,55.0345502771,6.2463355296,55.0384564770,6.2395977044,55.1144240363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,7,1,07 - 001,6.3087718782,55.0783457031,6.2395977044,55.1144240363,6.2463355296,55.0384564770,6.3778283514,55.0422282997,6.3713257832,55.1182021877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,8,1,08 - 001,6.4403938392,55.0820534309,6.3713257832,55.1182021877,6.3778283514,55.0422282997,6.5093441353,55.0458657117,6.5030769477,55.1218457036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,9,1,09 - 001,6.5720384093,55.0856266192,6.5030769477,55.1218457036,6.5093441353,55.0458657117,6.6408820539,55.0493686806,6.6348503663,55.1253545515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
